route,direction,weekday,hour,2013,2014,2015,2016,2017
I-95 North to Maine,Southbound,"Tue, Wed, Thu",7 AM,78.3,77,82.93,78.26,78.44
I-95 North to Maine,Southbound,"Tue, Wed, Thu",8 AM,91.52,86.41,87.26,88.54,84.99
I-95 North to Maine,Southbound,"Tue, Wed, Thu",9 AM,67.99,65.92,71.04,71.93,64.85
I-95 North to Maine,Southbound,"Tue, Wed, Thu",10 AM,49.04,49.59,52.29,51.18,51.17
I-95 North to Maine,Southbound,"Tue, Wed, Thu",11 AM,46.04,47.08,49.18,48.37,48.3
I-95 North to Maine,Southbound,"Tue, Wed, Thu",12 PM,45.9,46.5,49.6,48.31,48.25
I-95 North to Maine,Southbound,"Tue, Wed, Thu",1 PM,45.77,46.28,49.22,48.84,48.67
I-95 North to Maine,Southbound,"Tue, Wed, Thu",2 PM,46.27,46.74,50.9,52.15,52.24
I-95 North to Maine,Southbound,"Tue, Wed, Thu",3 PM,54.16,56.17,64.38,67.75,65.96
I-95 North to Maine,Southbound,"Tue, Wed, Thu",4 PM,66.74,66.29,69.24,69.86,67.9
I-95 North to Maine,Southbound,"Tue, Wed, Thu",5 PM,72.56,69.07,68.11,68.91,65.43
I-95 North to Maine,Southbound,"Tue, Wed, Thu",6 PM,61.64,56.09,55.17,57.66,55.32
I-95 North to Maine,Southbound,"Tue, Wed, Thu",7 PM,46.6,45.42,47.49,47.55,46.64
I-95 North to Maine,Southbound,"Tue, Wed, Thu",8 PM,47.79,46.56,48.28,49.25,47.33
I-95 North to Maine,Southbound,"Tue, Wed, Thu",9 PM,47.41,47.83,49.21,50.15,48.04
I-95 North to Maine,Northbound,weekend,6 AM,45.99,45.31,46.56,47.24,46.62
I-95 North to Maine,Northbound,weekend,7 AM,45.83,44.88,46.29,46.25,46.14
I-95 North to Maine,Northbound,weekend,8 AM,45.86,44.79,46.32,46.15,45.79
I-95 North to Maine,Northbound,weekend,9 AM,45.91,44.95,47.39,46.32,46.35
I-95 North to Maine,Northbound,weekend,10 AM,45.8,45.26,47.7,47.55,47.48
I-95 North to Maine,Northbound,weekend,11 AM,46.16,46.46,49.38,49.62,49.35
